V1,V2
1,"通过2018年11月6日的现场检查和2018年11月7日对当事人红旗渠建设集团有限公司的委托代理人马丽强的询问，以及调取有关资料，查明位于顺义区顺义新城第14街区的A1办公楼等6项（锂离子电池研发生产项目) 基坑支护工程基坑开挖深度为8.13米，现场正在进行地下二层墙体钢筋绑扎施工，基坑未回填仍在使用期内，自2017年11月15日基坑开挖之日起未对基坑进行安全巡视，红旗渠建设集团有限公司工程部副经理马丽强对以上事实予以认可，不符合《建筑基坑工程监测技术规范》（GB50497-2009）第4.3.1条的规定。该工程基坑深度为8.13米按照《住房城乡建设部办公厅关于实施有关问题的通知》（建办质〔2018〕31号）附件2第一条的规定，该工程基坑开挖深度超过5米属于超过一定规模的危险性较大的分部分项工程。以上问题可能会造成不能及时发现基坑出现的异常情况，导致基坑安全事故，属于未按规定进行安全巡视的行为，违反了《危险性较大的分部分项工程安全管理规定》第十七条第三款的规定。位于顺义区顺义新城第14街区的位于顺义区顺义新城第14街区的A1办公楼等6项（锂离子电池研发生产项目)工程建设单位为北京国舜新材料有限公司，监理单位为北京市顺金盛建设工程监理有限责任公司，总承包施工单位为中外建华诚城市建设有限公司，基坑支护工程分包单位为红旗渠建设集团有限公司。该工程建筑面积为47729.43平方米，于2017年11月15日开始基坑支护工程施工，现场检查时正在进行地下二层结构施工。该工程基坑支护工程分包单位直接负责的主管人员是马丽强，没有其他直接责任人员。当事人对违法事实予以认可,红旗渠建设集团有限公司和马丽强积极配合行政机关的执法工作，对上述问题及时进行整改未发现造成安全事故。
"
1,"你单位北京市基础设施投资有限公司于2015年8月5日取得证书编号为CY-A-7043的房地产开发企业资质证书，资质等级为二级，有效期至2018年7月15日，资质证书中法定代表人为田振清。2018年4月17日，你单位法定代表人由田振清变更为张燕友，并领取了新的营业执照。你单位在法定代表人变更后，直到2018年6月5日才到原资质审批部门办理变更手续，目前企业资质证书中法定代表人仍为田振清。
"
1,"该工程机电工程专业分包单位信邦建设工程有限公司的上述行为属于不按照施工图设计文件施工的行为，违反了《北京市建设工程质量条例》第十一条的规定。
"
0,对洗染服务业经营者违法行为的处罚
1,"你公司于2016年9月28日成立，注册地址为北京市昌平区东小口镇龙锦三街38-2至38-32号1层38-10。2017年5月29日你公司与王某签订了房屋出租委托合同，合同约定房主委托你公司对外出租该房屋，委托出租期限共12个月，房屋租金为人民币7600元/月。你公司从事房屋租赁经纪业务，至今未将机构和从业人员的基本情况等信息报送所在区、县建设(房屋)行政部门。
"
1,"施工的位于大兴区黄村镇的1#自住型商品房及配套等6项（大兴区四街、五街、六街村项目DX00-0208-6001等地块R2二类居住、U17邮政设施、B4综合性商业金融服务业、A33基础教育用地项目），劳务分包施工单位南通裕成建筑劳务有限公司已进场施工人员156人，施工现场仅配备1名专职安全生产管理人员，不符合《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》第十四条第（二）项。南通裕成建筑劳务有限公司未配备专职安全生产管理人员
"
0,对生产、经营、使用消毒药剂和消毒器械、卫生用品、卫生材料、一次性医疗器材、隐形眼镜、人造器官等不符合国家卫生标准，可能造成传染病的传播、扩散或者造成传染病的传播、扩散的处罚
1,"在位于丰台区王佐镇的丰台区王佐镇青龙湖地区FT00-0503-0053等地块R2类居住、B4综合性商业金融服务业、A61机构养老设施、A33基础教育、S4社会停车场用地项目（1#限价商品住宅楼等55项）（1#限价商品住宅楼-3#限价商品住宅楼、4#开闭站、5#限价商品住宅楼-11#限价商品住宅楼、机动车库、人防出入口、雨水调蓄池3处、化粪池3处）工程施工过程中，基坑东北角防水卷材堆放场所未配备灭火器，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第4.3.11条的规定。上述施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患
"
1,"东城区和平里东街11号101幢（107厂房）新建工程占地约10200平方米，建筑规模约52708.69平方米，由北京佳弘颐方投资有限公司建设，由北京市设备安装工程集团有限公司施工。北京佳弘颐方投资有限公司于2017年1月19日取得东城区和平里东街11号101幢（107厂房）装饰装修施工许可证（编号：[2017]施装字0062号，已于2018年6月1日被北京市住房和城乡建设委员会撤销），北京市设备安装工程集团有限公司于2017年6月开始进行施工，但施工中将原厂房拆除重新建设。北京市设备安装工程集团有限公司在北京佳弘颐方投资有限公司未取得建筑工程施工许可证的情况下违法开工建设东城区和平里东街11号101幢（107厂房）新建工程。2017年10月、11月，北京市东城区住房和城市建设委员会两次下发责令改正通知书，你单位拒不改正，继续实施违法行为。
"
1,"北京市住房和城乡建设委员会对中建城市建设发展有限公司施工的工业用房及附属设施用房二期工程（2#、3#、4#、5#及地下车库部分）工程进行了日常巡查，并于2018年5月11日对该工程施工单位中建城市建设发展有限公司未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为进行了立案调查。通过2018年5月9日的现场检查和2018年6月8日对当事人中建城市建设发展有限公司的委托代理人曹瑞进行询问，以及调取有关资料，查明该工程位于顺义区顺义新城第26街区，由北京顺义晨光工业开发公司建设、中建城市建设发展有限公司施工、北京鑫驰源建设工程监理有限公司监理。现场检查时该工程正在进行主体结构施工，中建城市建设发展有限公司在施工过程中存在以下问题：1. 4#楼南侧基坑周边1m范围内堆放钢筋，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.2.5条的规定；2. 3#楼楼梯正式栏杆未安装，未搭设防护栏杆，无临边防护，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.7.2条的规定；3. 3#楼北侧临时用电电缆线沿地面敷设，无绝缘防护措施，不符合《施工现场临时用电安全技术规范》（JGJ 46-2005）第7.2.3条的规定。中建城市建设发展有限公司以上行为属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为，违法行为情节严重，违法事实清楚，证据确实、充分，当事人对以上事实予以承认。上述行为未造成安全事故。
"
1,"认定中国汽车工业工程有限公司存在未严格按照建筑业安全作业规程或者标准进行施工，造成事故隐患的行为，违反了《北京市建设工程施工现场管理办法》第十三条第一款的规定，违法事实清楚，证据确实、充分。已书面对当事人进行事先陈述、申辩权利告知，当事人对违法事实予以认可，当事人在规定的期限内未提出陈述、申辩的要求，无进一步陈述、申辩的意见。
"
0,对化学品单位未按规定对化学品进行物理危险性鉴定或者分类的，未按照规定建立化学品物理危险性鉴定与分类管理档案的，在办理化学品物理危险性的鉴定过程中，隐瞒化学品的危险性成分、含量等相关信息或者提供虚假材料的处罚
1,"出具的房地产估价报告编号：（京）国融兴华[2018]（房估）字第010002号中估价结果报告后未加盖公章并由至少2名专职注册房地产估价师签字
"
1,"2018年03月13日 11点35分至2018年03月13日 12点30分，北京市住房和城乡建设委员会执法人员在亮明执法身份后对位于海淀区小营乡，由北京城建兴华地产有限公司、北京华城建设监理有限责任公司监理、北京城建建设工程有限公司总承包施工、北京匠筑盛达建筑工程有限公司分包施工的的C7地块1#住宅楼（变更）等26项（海淀区小营二类居住及商业金融（配建公共租赁住房）项目）7#住宅楼（变更）、8#住宅楼（变更）、9#住宅楼（变更）、16#住宅楼（变更）、21#住宅楼（变更）、22#住宅楼（变更）、1#地下车库（变更）施工现场进行了日常巡查，发现该工程存在以下问题：北京匠筑盛达建筑工程有限公司已安装完成该工程9#住宅楼6层南侧坡屋面玻璃采光顶窗户，安装使用的威卢克斯窗的《材料、构配件进场检验记录》（资料编号：03-03-C4-0001）未经监理单位专业工程师签字，安装使用的威卢克斯窗未经监理单位审查。北京匠筑盛达建筑工程有限公司的上述行为涉嫌违反了《北京市建设工程质量条例》第四十条第一款的规定。上述问题于2018年03月13日立案。
"
0,对取得制造、修理计量器具许可的单位或个人应当办理许可证变更手续而未办理的处罚
0,对经营者不正当价格行为的处罚
1,"2018年8月21日，北京市住房和城乡建设委员会对你单位提供起重机械设备的位于北七家镇未来科技城的4#住宅楼等11项工程（昌平区北七家镇（未来科技城南区）CP07-0600-0022、0039、0040地块F2公建混合住宅用地（配建人才公共租赁住房）项目）进行了建筑起重机械安全专项执法检查。经本机关立案调查，查明你单位存在以下违法事实：该工程施工现场登记编号为京HR-S36559的施工升降机由北京顺达亨通机械租赁有限公司出租，北京顺达亨通机械租赁有限公司按照《建筑起重机械安全监督管理规定》第九条第一款的要求为该施工升降机建立了建筑起重机械安全技术档案，该施工升降机在2018年7月处于在用状态。按照《北京市建筑起重机械安全监督管理规定》第五条第（五）项的要求：“本市起重机械出租单位和自购起重机械的使用单位（以下简称‘产权单位’）应当履行下列安全职责：（五）组织专业技术人员按照安全技术标准及有关要求，每月至少对起重机械完好状况进行一次全面的检查，确保起重机械的状况完好，并填写‘起重机械定期检查记录’，相关责任人员签字、盖章；产权单位应将‘起重机械定期检查记录’交使用单位、施工总承包单位备案。”但北京顺达亨通机械租赁有限公司在2018年7月份未对登记编号为京HR-S36559的施工升降机进行检查，未填写“起重机械定期检查记录”，京HR-S36559的施工升降机的建筑起重机械安全技术档案中缺少2018年7月份的定期自行检查记录。产权单位上述行为违反了《建筑起重机械安全监督管理规定》第九条第二款第（二）项的规定：“建筑起重机械安全技术档案应当包括以下资料：（二）定期检验报告、定期自行检查记录、定期维护保养记录、维修和技术改造记录、运行故障和生产安全事故记录、累计运转记录等运行资料；”属于未按照规定建立建筑起重机械安全技术档案的行为，产权单位北京顺达亨通机械租赁有限公司对上述违法事实予以承认。
"
0,对从事非法经营的中介服务机构在限期内拒不办理工商注销登记的处罚
0,对擅自从事互联网视听节目服务，传播节目内容违反管理规定的处罚
1,"北京市住房和城乡建设委员会执法人员于2018年4月4日对位于丰台区的北京轨道交通房山线北延工程土建施工03合同段丰益桥南站车站主体防水工程进行了检查，发现由北京森桦建业防水工程有限公司施工的北京轨道交通房山线北延工程土建施工03合同段丰益桥南站车站主体防水工程，丰益桥南站车站顶板28轴处，SBS改性沥青防水卷材基面，在顶纵梁两侧阳角的位置未做成钝角或圆角。不符合施工设计图纸（图纸编号：BJFB-SS-304-03-00-00-JG-003A）防水设计总说明(三)中第（二）,SBS改性沥青防水卷材施工技术要求第（1）基面处理要求5）要求：“……，阳角均做成不小于20×20mm的钝角或R≥20mm的圆角。”的要求，北京森桦建业防水工程有限公司的行为属于不按照工程设计图纸施工。北京森桦建业防水工程有限公司对以上问题予以承认，并认为出现上述情况的原因是现场技术作业人员疏忽。问题发生后，北京森桦建业防水工程有限公司的对上述问题进行了整改，经施工总包、监理单位确认，上述问题未造成质量事故。对以上问题，北京森桦建业防水工程有限公司单位直接负责的主管人员是侯贤亮，无其他直接责任人员。以上问题涉及的分项工程合同价款为277701元。
"
1,"总承包施工的位于平谷区平谷新城02街区西北部的小学等2项、6011-1#住宅楼等9项、6011-1#地下车库（二段）、6011-8#商业办公等2项（平谷区平谷镇、王辛庄镇PG00-0002-6011、6013、6014、6015、6018等地块项目），施工现场存在以下安全隐患：1、该工程5#楼9层东侧楼梯休息平台处的短边长度小于1.5m的孔洞，未用坚实的盖板封闭，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.6.1条的规定；2、该工程3#楼7层南侧的窗口临边处未设置临边防护栏杆，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.7.1条的规定；存在未严格按照建筑业安全作业标准进行施工，造成事故隐患
"
0,对直销企业违反有关保证金规定的处罚
0,对直销员向消费推销产品未出示直销员证和推销合同；未经消费者同意，进入消费者住所强行推销产品，未向消费者详细介绍本企业的退货制度等行为的处罚
1,"我委于2018年9月19日专项执法检查时，发现你单位在没有经委托人书面同意的情况下，在安居客网站（https://beijing.anjuke.com/）上擅自对外发布了一条“北京的房本，20万一居，20万20万村产，精装修”的出售房源信息。
"
0,对从事包装装潢印刷品印刷经营活动的企业接受委托印刷注册商标标识，未依照本条例的规定验证、核查工商行政管理部门签章的《商标注册证》复印件、注册商标图样或者注册商标使用许可合同复印件；接受委托印刷广告宣传品、作为产品包装装潢的印刷品，未依照本条例的规定验证委托印刷单位的营业执照或者个人的居民身份证的，或者接受广告经营者的委托印刷广告宣传品，未验证广告经营资格证明；盗印他人包装装潢印刷品；接受委托印刷境外包装装潢印刷品未依照本条例的规定向出版行政部门备案的，或者未将印刷的境外包装装潢印刷品全部运输出境；印刷企业接受委托印刷注册商标标识、广告宣传品，违反国家有关注册商标、广告印刷管理规定的处罚
0,对麻醉药品和精神药品定点生产企业未按照年度生产计划安排生产的处罚
1,"施工的位于大兴区黄村镇的全民健身中心（大兴新城北区全民健身中心建设工程），施工现场存在以下问题：1、现场安装的幕墙玻璃为6+18Ar+6Low-e钢化，不符合工程设计图纸施工图总说明（四）第5.2.3条关于玻璃厚度为Low-e8+12A+8的要求。2、幕墙中空玻璃进场复试报告（JN2018MC0509）传热系数检验结果为1.8W/（m2.K），不符合工程设计图纸施工图总说明（四）第5.2.3条关于传热系数为1.6W/（m2.K）的要求。3、玻璃幕墙进场复试报告（FH2018MQ0019）气密性能检验结果为符合GB/T21086-2007第2级，不符合工程设计图纸施工图总说明（六）第3.2.3条第6）项关于气密性能检验结果应符合GB/T21086-2007第3级的要求。4、幕墙中空玻璃进场复试报告（JN2018MC0509）遮阳系数检验结果为0.53，不符合工程设计图纸幕墙系统类型说明表五第第3条关于遮阳系数≤0.45的要求。施工单位未按照节能设计进行施工
"
1,"在位于朝阳区北土城东路惠忠庵的2号住宅楼等3项施工过程中存在以下问题：2#楼结构内暗敷设焊接钢管，管路连接采用套管焊接，规格为32mm的套管长度现场实测为56mm，按照《1kV及以下配线工程施工与验收规范》（GB50575-2010）第4.2.4.2条要求，套管长度应不小于被套管外径的2.2倍，即70.4mm。上述施工单位在施工过程中偷工减料
"
0,对进行金融票据诈骗活动情节轻微不构成犯罪的处罚
0,对未按规定要求进行场地环境风险调查评估或者场地修复的处罚
1,"2018年9月14日，北京市住房和城乡建设委员会对你单位北京汇鑫伟业房地产经纪有限公司在58同城网站（http://bj.58.com）发布的房源信息进行核查时发现，你单位北京汇鑫伟业房地产经纪有限公司未经委托人书面同意，擅自对外发布内容为“伟业嘉园大学城西 配套齐全 精装两居 随时看房 家电齐全”的租赁房源信息。
"
0,对传染病病人、病原携带者故意传播传染病，造成他人感染的处罚
0,对食品、食品添加剂标签、说明书存在瑕疵的处罚
0,对危险化学品包装物、容器生产企业销售未经检验或经检验不合格的危险化学品包装物、容器行为的处罚
0,对诊疗活动超出登记范围的处罚
0,对获得认证证书的产品不符合国家标准或者行业标准而使用认证标志出厂销售的处罚
0,对职业病诊断机构未建立职业病诊断管理制度；不按照规定向劳动者公开职业病诊断程序；泄露劳动者涉及个人隐私的有关信息、资料等违法行为的处罚
0,对未经批准擅自设置人类精子库，采集、提供精子的非医疗机构的处罚
0,对单位和个人未经资格认定、登记注册擅自开展因私出入境中介活动的处罚
0,对医师在执业活动中，使用未经批准使用的药品、消毒药剂和医疗器械的处罚
0,对营业性演出违反治安管理规定的处罚
