V1,V2
0,核设施营运核技术利用放射性固体废物贮存处置如实报告情况
1,立案调查查明没有委托人书面同意情况下同城房产网站上擅自对外一条名称地铁口现房公寓送精装修独立房本买住随时看房出售房源信息
0,采用正当手段垄断种苗市场哄抬种苗价格尚不够刑事
0,违规从事婚前医学检查遗传病诊断产前诊断医学技术鉴定施行终止妊娠手术出具医学证明
0,零售商违规促销
1,周口安达隆业建设工程新机场东航基地航空食品地面服务区一期工程工程违反规定两名零散民工肖长立齐忠双
0,违法生产加工包装检验贮藏林木种子
1,经本机关立案调查查明违法事实住房城乡建设执法人员轨道交通新机场线一期工程土建合同段监督执法检查批准河南省安泰防水防腐工程立案调查河南省安泰防水防腐工程法人代理人崔昆峰询问调取相关证据查明事实
0,危险化学品专用仓库符合国家标准行业标准
0,扰乱文化体育大型群众性活动秩序
0,纳税人扣缴义务人期限内不缴少缴应纳应解缴税款税务机关责令限期缴纳逾期仍缴纳
0,违反医疗器械注册管理办法依法办理医疗器械注册证书变更
1,统信房地产土地评估接受翔烁银隆国际贸易朝阳路号院楼层房屋重置成新价值评估出具为京统信估税字第号房地产估价报告参加项目评估注册房地产估价师彭宇注册号刘为军注册号刘为军为项目负责人负责全程参与受理估价实地查勘估价对象撰写估价报告估价工作刘为军未估价对象实地查勘违反房地产估价规范
1,认定严格建筑业安全作业规程标准施工事故隐患违反建设工程施工现场管理办法第十三条第一款违法事实清楚证据确实充分
1,住宅楼永定路住宅配套项目住宅楼永定路住宅配套项目工程永定路江苏南通二建承包施工天津市瑞通建筑材料依法相应等级资质证书情况下江苏南通二建承揽住宅楼永定路住宅配套项目住宅楼永定路住宅配套项目工程外檐装饰构件定做安装江苏南通二建签订外檐装饰构件定做安装合同合同造价元目前工程完工具有相应资质等级承揽工程外檐装饰构件定做安装施工已经构成资质证书承担工程
1,南苑乡京粮丰台南苑植物油厂保障性住房项目三标段工程施工过程中号楼北侧外墙保温工人吊篮运送物料符合建筑施工工具式脚手架安全技术规范第条施工单位严格建筑业安全作业标准施工事故隐患
0,加油站经营者计量器具零售结算值值之差超过国家允许误差
1,地铁六号线西延标段工程违反规定名零散民工
1,导致工程特种作业人员管理漏洞安全事故隐患
1,建筑云计算中心项首特绿能港科技中心项目工程违反规定名零散民工
0,伪造倒卖转让进出口批准文件允许进出口证明书
1,住房城乡建设执法人员年月日时分时分东城区号线三期工程土建施工合同段施工现场检查以中交隧道工程局涉嫌严格建筑业安全作业规程施工事故隐患立案调查年月日时分时分中交隧道工程局法人授权委托人高璇询问调取相关证据查明问题中交隧道工程局号线三期工程土建施工合同段施工单位负责施工号线三期工程土建施工合同段永定门外站木樨园桥站区间工程盾构始发井南侧台门式起重机大车行程限位开关限位器错开无法行程限位大车行程限位开关失效建筑机械安全技术规程第条建筑起重机械变幅限位器力矩限制器起重量限制器防坠安全器钢丝绳防脱装置防脱钩装置行程限位开关安全保护装置必须齐全有效严禁随意调整拆除严禁利用限制器限位装置代替操纵机构不符强制性问题机械伤人事故严格建筑业安全作业规程施工事故隐患情节严重问题施工单位认为安全管理疏忽所致已经整改完毕
0,对外劳务合作企业安排劳务人员接受培训组织劳务人员赴国外工作劳务人员购买国外工作期间人身意外伤害保险安排随行管理人员
0,经纪人登记注册擅自开展经纪活动超越核准经营范围从事经纪活动违反约定违反委托人保守商业秘密泄露委托人商业秘密采取欺诈胁迫贿赂恶意串通手段损害利益经纪商品服务作引人误解虚假宣传参与倒卖国家禁止限制自由买卖物资物品
1,建筑施工企业不再具备安全生产
1,房地产经纪机构擅自对外房源信住房城乡建设京诚友家房地产经纪同城网站房源信息核查京诚友家房地产经纪委托人书面同意擅自对外内容十号线泥洼站附近大三居丰益花园盛鑫嘉园欢迎您来电租赁房源信息
0,医疗器械生产企业医疗器械缺陷没有主动召回医疗器械
0,外国人批准擅自进入限制外国人进入区域
1,出具房地产估价报告京国融兴华房估字第号估价报告后加盖公章至少名专职注册房地产估价师签字
1,年月日时分时分住房城乡建设执法人员号线东延工程土建施工监理合同段检查号线东延工程土建施工监理合同段黄厂村站建设活动签署技术文件问题黄厂村站第一流水段主体结构轴轴柱子混凝土浇筑现场共计取样留置组℃天试块当时试验员组试块试样均编为形成见证记录分别及时试样一栏填写同样试样依据建设工程检测试验管理规程第条试样应具有唯一性标识标识应字迹清晰附着牢固试样应时间顺序连续不得空号重号见证记录试样一栏填写试样重标识唯一错误见证人两份见证记录见证人一栏签字确认形成错误技术文件见证记录依据建设工程检测试验管理规程第条施工试验检测过程形成技术文件宋志朋是工程建设类专业技术职称从事工程建设活动专业技术人员工作铁科院工程咨询宋志朋此次违法行为质量事故
1,号线合同段违反规定两名零散民工
0,从事非法经营中介服务机构限期内拒办理工商注销登记
0,销售经营活动生产许可证列入目录产品
0,拦渠筑坝设置阻水堵塞排水防洪管渠
1,施工体育馆延庆区体育中心全民健身中心工程消防工程游泳馆二层轴消防工程喷淋系统自动喷水灭火系统喷头安装施工单位国泰瑞安消防工程系统冲洗打压试验符合自动喷水灭火系统施工验收规范第条喷头安装应系统试压冲洗合格后查阅工程建设工程施工专业分包合同消防工程游泳馆喷淋系统水喷淋雾喷头分项合同价款元建设工程质量管理条例相关作出直接负责直接责任人员水暖施工员胡刘张
1,施工号线工程土建施工合同段万寿寺站站台下区间人行钢梯两侧未设栏杆扶手无防护栏杆施工单位符合建设工程施工现场安全防护场容卫生消防保卫标准第条严格建筑业安全作业规程标准施工事故隐患
1,主龙骨固定角码主龙骨采用螺栓连接采用型连接角码建长城建筑装饰工程施工图设计文件施工建长城建筑装饰工程上述事实予以承认认为现场技术作业人员学习图纸透彻所致部分角码结构尺寸强于原设计栓接改焊接认为焊接更加牢固不是故意设计图纸施工问题后积极整改提交整改回复经查建长城建筑装饰工程此次违法行为没有质量事故建长城建筑装饰工程直接负责主管人员薛其昊无直接责任人员以上问题涉及分项工程合同价款为元
0,进口销售批准检验进口化妆品
0,制盐企业批准食盐添加营养强化剂药物利用盐土硝土工业废渣废液加工制盐食用盐市场上销售符合食用盐卫生标准原盐加工盐土盐硝盐工业废渣废液制盐批准以盐原料加工制盐符合卫生标准食用盐销售纳入盐业行政主管部门产销计划依法缴纳盐税碘缺乏病地区供应加碘食用盐
0,疾病预防控制机构接种疫苗生产企业疫苗批发企业冷藏下储存运输疫苗
0,制定落实内部治安保卫措施治安保卫重点设置治安保卫任务相适应治安保卫机构配备专职治安保卫人员治安保卫重点未确定治安保卫重要部位国家有关标准治安保卫重要部位设置必要技术防范设施实施重点保护治安保卫重点制定内部治安突发事件处置预案定期组织演练管理措施落实致使管理范围内人员违反内部治安保卫制度情况严重治安问题突出
1,施工新机场安置房项目礼贤组团横六路道路电力管线给水燃气再生水排水工程横七路道路电力管线给水排水再生水工程一路道路电力管线给水排水再生水工程雨水检查井直径井圈周边钢筋混凝土加固宽度井圈加固构造图井圈周边钢筋混凝土加固宽度不符工程井圈周边加固工程合同价款元施工单位施工技术标准施工
1,施工号线工程土建施工合同段朝阳港站十里河站区间区间左线盾构始发井西侧侧墙双排脚手架顶部作业层设置临边防护栏杆作业层长度约米距地面高度约米施工单位违反建设工程施工现场安全防护场容卫生消防保卫标准第条施工单位严格建筑业安全作业标准施工事故隐患
0,生产销售符合强制性标准产品
1,施工黄村镇新城北区地块类多功能用地项目办公楼工程施工现场问题基坑坡道临边连续设置防护栏杆符合建设工程施工现场安全防护场容卫生消防保卫标准第条施工单位建筑第八工程局严格建筑业安全作业标准施工事故隐患
1,住房城乡建设德州亚太立案调查年月日时分时分现场检查日常检查和德州亚太代理人项目经理史庆武项目技术负责人崔润龙项目质检员钱金明询问调取资料查明永定河北岸榆垡镇礼贤镇河北省廊坊市广阳区之间德州亚太分包施工新机场停车楼综合服务楼工程通风空调风管保温分包施工问题进场立方米办公楼首层二层样板段风管保温施工共用立方米玻璃棉监理见证下取样检测报告显示导热系数满足产品标准满足设计导热系数说明施工单位施工图设计文件施工新机场停车楼综合服务楼工程综合楼通风空调风管保温分项工程合同价款为元该分包项目经理史庆武是直接负责主管人员
0,眼镜制配强制检定计量器具登记造册备案按规定申请检定超过检定周期继续检定合格继续非强制检定计量器具非强制检定计量器具定期检定检定合格继续
0,擅自改变机动车外形已登记技术数据
0,处理品未予显著标明销售责令改正拒改正
1,施工施园站基坑东北处挡土墙周边施工现场裸露场地采取覆盖固化绿化措施符合建设工程施工现场安全防护场容卫生消防保卫标准第条严格建筑业安全作业标准施工事故隐患
1,认定匠筑盛达建筑工程违反建设工程质量第四十条第一款违法事实清楚证据确实充分书面匠筑盛达建筑工程事先陈述申辩权利告知违法事实予以认可时间内未提出陈述申辩无进一步陈述申辩意见匠筑盛达建筑工程听证权利告知时间内未提出听证
1,年月日时分至台湖镇太平路标段京渠路富民路道路雨水污水给水再生水管线工程现场检查和八通市政工程代理人李永强询问调取资料执法人员查明工程星湖投资开发建设八通市政工程施工方圆工程监理监理执法人员检查施工现场混凝土运输单工程混凝土浇筑作业共浇筑部位雨水管线主线段支线段检查井基础底板支线段雨水方沟基础底板雨水管线主线检查井基础底板浇筑过程中未留置混凝土试件违反混凝土结构工程施工质量验收规范拌制盘超过取样不得少于一次同一配合混凝土每次取样应至少留置一组试件商品混凝土检验无法标准养护试件检测质量事故八通市政工程商品混凝土检验违法事实清楚证据确实充分违法事实予以认可
1,住宅楼工程昌平区北七家镇未来科技城南区地块公建混合住宅用地配建人才公共租赁住房项目北京东方蓝海置业建设共筑天成工程建设监理监理中铁二十一局第六工程施工建筑面积平方米现场检查正在二次结构施工
0,从事角膜接触镜配戴经营者配备经营业务相适应眼科计量检测设备
1,泰仑房地产经纪百子园号楼业主徐晴和承租人吴怡签订房屋租赁合同合同收取佣金元后只开具收据开具发票执法人员批评教育后于补开发票
0,医疗器械经营企业擅自变更注册地址仓库地址
0,药品生产企业采取改正措施召回药品
1,航天科工航天云网双创示范基地装修改造工程丹棱街号海兴大厦座建设中国航天建设航天建设工程联合体中标施工工程包括地上一层地下一层内部装饰装修改造装修区域建设规模㎡中国航天建设航天建设工程联合体工程签订合同协议书工程合同价款为元工程建筑工程施工许可证情况下于违法开工建设进场施工施工单位中国航天建设联合体标的航天建设工程并未参与当时现场施工工作目前工程做地上一层部分玻璃隔断工程现已停工
